,review,label
0,"We are happy with this purchase. The chair was not difficult to assemble and seems like it will be a nice piece to have as our baby boy grows up. Because it is a toddler rocker, it is a bit wide, so our son ends up tilting a bit to the side since he isn't wide enough for the chair yet and isn't quite strong enough to sit straight on his own. The recline and upright angles aren't very different from each other, but they work just fine.",True
1,"this stuff has saved my son from severe diaper rash.. For wipes, I use a non-alcholic witch hazel and use cotton balls.. it's really is amazing.. but i wish it came in a bigger tube!",True
2,"Great, great first toy. I have twins, and this has been a great mat for them to discover new things to do, such as grabbing, feeling, etc. It also helps them immensely with tummy time. Instead of getting frustrated, my girls look at the vibrant colors or the mirror on their tummies while lifting their heads. Fabulous gift!",True
3,"This is a very handy product to have. It has it's own carry case, which is a great plus. It's perfect for traveling to grandparents or even hotels.",True
4,"Love the stroller. Bought it because my husabnd is 6'4"" and had problems kicking all other strollers when trying to push. The Peg Perego has a stroller with adjustable handles for a tall/average height couple but it only changes the height a couple inches versus the Maclaren change of three inches. The stroller is lightweight, easy to fold and looks to be comfy. My only complaint is no adult cup holder and when you put one on it usually gets messed up while folding. Not a big deal but worth mentioning. I got mine in red for MUCH less than list price after searching internet. (Really liked the lilac but it was $100 more and I did not think a color was worth that much more money)",True
5,"I was a little hesitant after reading some of the negative reviews, but my 2 1/2 month old loves it and we haven't had any problems with leakage or anything. The flaps are a little pointless for her, but other than that it's really cool! I think it is absolutely worth the money!",True
6,"We bought this booster seat for our 4 year old, very slim daughter. Since she weighs 30 pounds I was looking for a very safe seat for her. She LOVES this seat. She feels like such a big kid. After using it for several weeks now, I feel very good about how the seat belt itself is not too high, and the comfort of the seat. She loves to unbuckle it herself when we get to a location and tells me the seat is very comfortable. It has been extremely easy to install and move around when we need to, and I am very happy with this purchase. The only possible negative I can think of is that you have to pay a little more for the girl print. I still don't get that part. She loves the colors, and I love how sturdy it is compared to the other boosters we have used. I would definitely recommend this product to others (and have done so).",True
7,"We purchased a jumperoo at the advice of friends, as our little one needed to do more than lay on her back or have tummy time while playing. We were glad to have selected the Rainforest Jumperoo--She loves it! She weighs about 20 lbs, so you have to be careful to get her feet through the two footholes. The seat is just right, although I don't know how much longer she will be able to get into and out of it, but it works fine, and she jumps excitedly for long periods of time (not just a 5-minute gig). It's nice for me when I need to do some work in kitchen.My husband wishes they made one for adults...grin!",True
8,"I bought this pail when I had my second child. I used the Dekor before and decided to try something different. This pail is great. It is very easy to use and doesn't smell at all. At first, my two year old decided to put everything in it because it is so fun to use, but she soon learned that only dirty diapers go in it. The only drawback is the the shoot does get pretty dirty and needs to be cleaned once in a while.",True
9,"We love this booster seat. It's simple, narrow (a plus for us, as we have three seats that need to fit) and the chest strap holders are attached. Absolutely love this booster!",True
